Algoritmo,Execucao,Tempo(segundos)
SelectionSort,1,124.943730
SelectionSort,2,125.083851
SelectionSort,3,123.310597
SelectionSort,4,119.819232
SelectionSort,5,117.773909
SelectionSort,6,110.998405
SelectionSort,7,111.949417
SelectionSort,8,111.680482
SelectionSort,9,111.684714
SelectionSort,10,111.342299
SelectionSort,11,110.974410
SelectionSort,12,111.017980
SelectionSort,13,110.924377
SelectionSort,14,111.261406
SelectionSort,15,111.325439
SelectionSort,16,111.122451
SelectionSort,17,111.568789
SelectionSort,18,110.935892
SelectionSort,19,110.869784
SelectionSort,20,111.646548
SelectionSort,21,111.258101
SelectionSort,22,111.148264
SelectionSort,23,110.415089
SelectionSort,24,110.896695
SelectionSort,25,111.230003
SelectionSort,26,110.229115
SelectionSort,27,110.924428
SelectionSort,28,110.768295
SelectionSort,29,111.168766
SelectionSort,30,111.201531
CycleSort,1,69.692374
CycleSort,2,70.274758
CycleSort,3,69.550105
CycleSort,4,66.050668
CycleSort,5,62.159494
CycleSort,6,63.132624
CycleSort,7,62.848605
CycleSort,8,62.373869
CycleSort,9,63.051059
CycleSort,10,62.162912
CycleSort,11,62.121865
CycleSort,12,62.428558
CycleSort,13,62.419073
CycleSort,14,62.775711
CycleSort,15,62.290619
CycleSort,16,62.219492
CycleSort,17,62.290612
CycleSort,18,63.515311
CycleSort,19,62.442527
CycleSort,20,67.119293
CycleSort,21,62.510965
CycleSort,22,62.163510
CycleSort,23,62.607213
CycleSort,24,62.376340
CycleSort,25,66.752004
CycleSort,26,62.159144
CycleSort,27,63.369299
CycleSort,28,63.045902
CycleSort,29,62.556386
CycleSort,30,62.035299
