Algoritmo,Execucao,Tempo(segundos);
SelectionSort,1,53.386678;
SelectionSort,2,27.492105;
SelectionSort,3,29.323588;
SelectionSort,4,28.497106;
SelectionSort,5,40.867005;
SelectionSort,6,26.606950;
SelectionSort,7,30.181031;
SelectionSort,8,28.871018;
SelectionSort,9,29.711466;
SelectionSort,10,31.204532;
SelectionSort,11,27.985413;
SelectionSort,12,28.763902;
SelectionSort,13,30.559821;
SelectionSort,14,29.114297;
SelectionSort,15,32.048672;
SelectionSort,16,28.332591;
SelectionSort,17,30.799104;
SelectionSort,18,27.941255;
SelectionSort,19,29.884729;
SelectionSort,20,31.672815;
SelectionSort,21,28.456701;
SelectionSort,22,29.992384;
SelectionSort,23,30.478295;
SelectionSort,24,27.864109;
SelectionSort,25,31.203765;
SelectionSort,26,28.574392;
SelectionSort,27,29.617845;
SelectionSort,28,30.932184;
SelectionSort,29,27.883416;
SelectionSort,30,32.105932;
CycleSort,1,21.141461;
CycleSort,2,15.452815;
CycleSort,3,18.235076;
CycleSort,4,27.485380;
CycleSort,5,18.217213;
CycleSort,6,15.768866;
CycleSort,7,15.609687;
CycleSort,8,16.098735;
CycleSort,9,17.203292;
CycleSort,10,16.480649;
CycleSort,11,18.394527;
CycleSort,12,15.892134;
CycleSort,13,17.508621;
CycleSort,14,16.213495;
CycleSort,15,19.047312;
CycleSort,16,15.764308;
CycleSort,17,16.802195;
CycleSort,18,22.114582;
CycleSort,19,15.995407;
CycleSort,20,18.276193;
CycleSort,21,16.524879;
CycleSort,22,17.638205;
CycleSort,23,19.183741;
CycleSort,24,15.723864;
CycleSort,25,16.897204;
CycleSort,26,17.355918;
CycleSort,27,15.982113;
CycleSort,28,18.064590;
CycleSort,29,16.412875;
CycleSort,30,19.506327;
