Algoritmo,Execucao,Tempo(segundos)
SelectionSort,1,29.374758
SelectionSort,2,29.018497
SelectionSort,3,29.009769
SelectionSort,4,29.899055
SelectionSort,5,31.884142
SelectionSort,6,34.052969
SelectionSort,7,33.586315
SelectionSort,8,37.986517
SelectionSort,9,29.800305
SelectionSort,10,36.633644
SelectionSort,11,41.605407
SelectionSort,12,39.738796
SelectionSort,13,32.328788
SelectionSort,14,36.209530
SelectionSort,15,33.720701
SelectionSort,16,32.598595
SelectionSort,17,33.577490
SelectionSort,18,34.157826
SelectionSort,19,32.595909
SelectionSort,20,34.348772
SelectionSort,21,36.376950
SelectionSort,22,30.109259
SelectionSort,23,30.565737
SelectionSort,24,36.840809
SelectionSort,25,34.854084
SelectionSort,26,33.005011
SelectionSort,27,35.549117
SelectionSort,28,31.624062
SelectionSort,29,38.282794
SelectionSort,30,32.264754
CycleSort,1,34.559977
CycleSort,2,34.392675
CycleSort,3,34.281961
CycleSort,4,39.266633
CycleSort,5,37.842641
CycleSort,6,38.840227
CycleSort,7,39.935424
CycleSort,8,44.309298
CycleSort,9,34.826106
CycleSort,10,47.814140
CycleSort,11,47.506351
CycleSort,12,38.984028
CycleSort,13,46.082895
CycleSort,14,40.850499
CycleSort,15,38.765275
CycleSort,16,42.268798
CycleSort,17,39.811646
CycleSort,18,40.613578
CycleSort,19,38.384292
CycleSort,20,46.500378
CycleSort,21,35.703720
CycleSort,22,36.719389
CycleSort,23,39.426828
CycleSort,24,47.836449
CycleSort,25,39.037057
CycleSort,26,42.213850
CycleSort,27,43.936459
CycleSort,28,44.848001
CycleSort,29,39.668451
CycleSort,30,39.604944
